ELL,2.56E+09,1.22E-03
SHE,2.54E+09,1.21E-03
OSE,2.54E+09,1.21E-03
ITE,2.53E+09,1.21E-03
LLY,2.53E+09,1.21E-03
REC,2.53E+09,1.21E-03
LAN,2.51E+09,1.20E-03
ARD,2.49E+09,1.19E-03
HEY,2.48E+09,1.18E-03
RIE,2.48E+09,1.18E-03
POS,2.46E+09,1.17E-03
EME,2.46E+09,1.17E-03
MOR,2.45E+09,1.17E-03
DEN,2.43E+09,1.16E-03
OUG,2.43E+09,1.16E-03
TTE,2.42E+09,1.15E-03
NED,2.41E+09,1.15E-03
RIT,2.39E+09,1.14E-03
IME,2.38E+09,1.13E-03
SIN,2.35E+09,1.12E-03
AST,2.34E+09,1.12E-03
ANY,2.33E+09,1.11E-03
ORM,2.32E+09,1.11E-03
NDI,2.32E+09,1.11E-03
ONA,2.32E+09,1.11E-03
SPE,2.32E+09,1.11E-03
ENE,2.32E+09,1.11E-03
HEI,2.31E+09,1.10E-03
RIC,2.31E+09,1.10E-03
ICE,2.29E+09,1.09E-03
ORD,2.29E+09,1.09E-03
OMP,2.28E+09,1.09E-03
NES,2.28E+09,1.09E-03
SEN,2.28E+09,1.09E-03
TIM,2.28E+09,1.09E-03
TRI,2.27E+09,1.08E-03
ERN,2.27E+09,1.08E-03
TES,2.25E+09,1.07E-03
POR,2.25E+09,1.07E-03
APP,2.25E+09,1.07E-03
LAR,2.21E+09,1.05E-03
NTR,2.20E+09,1.05E-03
EIR,2.20E+09,1.05E-03
SHO,2.20E+09,1.05E-03
SON,2.17E+09,1.03E-03
CAT,2.17E+09,1.03E-03
LLE,2.17E+09,1.03E-03
NER,2.16E+09,1.03E-03
HES,2.16E+09,1.03E-03
WHO,2.16E+09,1.03E-03
MAT,2.16E+09,1.03E-03
ASE,2.15E+09,1.02E-03
KIN,2.15E+09,1.02E-03
OST,2.15E+09,1.02E-03
BER,2.14E+09,1.02E-03
ITS,2.14E+09,1.02E-03
NIN,2.14E+09,1.02E-03
LEA,2.13E+09,1.02E-03
INA,2.12E+09,1.01E-03
MPL,2.11E+09,1.01E-03
STO,2.11E+09,1.01E-03
ARI,2.10E+09,1.00E-03
PRI,2.09E+09,9.96E-04
OWN,2.09E+09,9.96E-04
ALI,2.09E+09,9.96E-04
REE,2.08E+09,9.91E-04
ISH,2.07E+09,9.87E-04
DES,2.07E+09,9.87E-04
EAD,2.06E+09,9.82E-04
NST,2.05E+09,9.77E-04
SIT,2.05E+09,9.77E-04
SES,2.05E+09,9.77E-04
ANS,2.03E+09,9.68E-04
HAS,2.02E+09,9.63E-04
GRE,2.00E+09,9.53E-04
ONG,2.00E+09,9.53E-04
ALS,2.00E+09,9.53E-04
FIC,2.00E+09,9.53E-04
UAL,2.00E+09,9.53E-04
IEN,2.00E+09,9.53E-04
GEN,1.99E+09,9.48E-04
SER,1.99E+09,9.48E-04
UNT,1.98E+09,9.44E-04
ECO,1.98E+09,9.44E-04
NTA,1.98E+09,9.44E-04
ACE,1.98E+09,9.44E-04
CHI,1.98E+09,9.44E-04
FER,1.98E+09,9.44E-04
TAL,1.97E+09,9.39E-04
LOW,1.97E+09,9.39E-04
ACH,1.97E+09,9.39E-04
IRE,1.96E+09,9.34E-04
ANG,1.96E+09,9.34E-04
SSE,1.96E+09,9.34E-04
GRA,1.96E+09,9.34E-04
MON,1.96E+09,9.34E-04
FFE,1.95E+09,9.29E-04
RAC,1.95E+09,9.29E-04
SEL,1.94E+09,9.25E-04
UNI,1.94E+09,9.25E-04
AKE,1.94E+09,9.25E-04
ARY,1.93E+09,9.20E-04
WIL,1.93E+09,9.20E-04
LED,1.93E+09,9.20E-04
DED,1.93E+09,9.20E-04
SOM,1.91E+09,9.10E-04
OWE,1.90E+09,9.06E-04
HAR,1.90E+09,9.06E-04
INI,1.89E+09,9.01E-04
OPE,1.89E+09,9.01E-04
NGE,1.89E+09,9.01E-04
UCH,1.88E+09,8.96E-04
REL,1.88E+09,8.96E-04
CHE,1.88E+09,8.96E-04
ADE,1.88E+09,8.96E-04
ATT,1.88E+09,8.96E-04
CIA,1.87E+09,8.91E-04
EXP,1.87E+09,8.91E-04
MER,1.87E+09,8.91E-04
LIC,1.86E+09,8.86E-04
HEM,1.84E+09,8.77E-04
ERY,1.84E+09,8.77E-04
NSI,1.82E+09,8.67E-04
OND,1.82E+09,8.67E-04
RTI,1.82E+09,8.67E-04
DUC,1.82E+09,8.67E-04
HOW,1.82E+09,8.67E-04
ERT,1.81E+09,8.63E-04
SEE,1.80E+09,8.58E-04
NOW,1.79E+09,8.53E-04
IMP,1.79E+09,8.53E-04
ABO,1.79E+09,8.53E-04
PEC,1.78E+09,8.48E-04
CEN,1.78E+09,8.48E-04
RIS,1.78E+09,8.48E-04
MAR,1.78E+09,8.48E-04
ENS,1.77E+09,8.44E-04
TAI,1.77E+09,8.44E-04
ELY,1.75E+09,8.34E-04
OMM,1.75E+09,8.34E-04
SUR,1.74E+09,8.29E-04
HEA,1.72E+09,8.20E-04
ULA,1.71E+09,8.15E-04
ULT,1.71E+09,8.15E-04
ILI,1.70E+09,8.10E-04
BEE,1.69E+09,8.05E-04
ORK,1.68E+09,8.01E-04
LIS,1.68E+09,8.01E-04
NIT,1.68E+09,8.01E-04
ORI,1.68E+09,8.01E-04
THR,1.67E+09,7.96E-04
ATH,1.66E+09,7.91E-04
VEL,1.65E+09,7.86E-04
TIE,1.64E+09,7.82E-04
ANI,1.63E+09,7.77E-04
CUL,1.62E+09,7.72E-04
HIL,1.62E+09,7.72E-04
TEM,1.62E+09,7.72E-04
RIA,1.62E+09,7.72E-04
TRE,1.62E+09,7.72E-04
IVI,1.61E+09,7.67E-04
VES,1.61E+09,7.67E-04
PEN,1.60E+09,7.63E-04
CRE,1.60E+09,7.63E-04
OLL,1.60E+09,7.63E-04
ELE,1.59E+09,7.58E-04
LON,1.59E+09,7.58E-04
WAR,1.58E+09,7.53E-04
EQU,1.58E+09,7.53E-04
TRO,1.58E+09,7.53E-04
EAL,1.58E+09,7.53E-04
REP,1.57E+09,7.48E-04
ELI,1.57E+09,7.48E-04
IAN,1.57E+09,7.48E-04
SID,1.57E+09,7.48E-04
ISE,1.57E+09,7.48E-04
ERV,1.56E+09,7.44E-04
TRU,1.55E+09,7.39E-04
ILE,1.55E+09,7.39E-04
QUE,1.54E+09,7.34E-04
HIM,1.54E+09,7.34E-04
MED,1.53E+09,7.29E-04
WOU,1.53E+09,7.29E-04
FIN,1.52E+09,7.24E-04
UCT,1.52E+09,7.24E-04
OLD,1.51E+09,7.20E-04
OOD,1.50E+09,7.15E-04
COR,1.50E+09,7.15E-04
NEW,1.49E+09,7.10E-04
EAC,1.48E+09,7.05E-04
ERM,1.48E+09,7.05E-04
FAC,1.47E+09,7.01E-04
BOU,1.47E+09,7.01E-04
ACK,1.46E+09,6.96E-04
SUC,1.46E+09,6.96E-04
EDI,1.45E+09,6.91E-04
NTO,1.45E+09,6.91E-04
CAR,1.45E+09,6.91E-04
OLI,1.44E+09,6.86E-04
NLY,1.44E+09,6.86E-04
MIL,1.44E+09,6.86E-04
EED,1.44E+09,6.86E-04
WAY,1.43E+09,6.82E-04
ROP,1.43E+09,6.82E-04
ITA,1.43E+09,6.82E-04
ETH,1.41E+09,6.72E-04
ECI,1.41E+09,6.72E-04
UTI,1.41E+09,6.72E-04
MAY,1.41E+09,6.72E-04
ICI,1.41E+09,6.72E-04
WHA,1.41E+09,6.72E-04
RMA,1.40E+09,6.67E-04
ARA,1.39E+09,6.62E-04
QUI,1.38E+09,6.58E-04
REM,1.38E+09,6.58E-04
MBE,1.38E+09,6.58E-04
FTE,1.37E+09,6.53E-04
RST,1.36E+09,6.48E-04
VED,1.36E+09,6.48E-04
CTE,1.36E+09,6.48E-04
NDS,1.35E+09,6.43E-04
FIR,1.35E+09,6.43E-04
LIE,1.35E+09,6.43E-04
MET,1.35E+09,6.43E-04
OOK,1.34E+09,6.39E-04
MOS,1.34E+09,6.39E-04
MES,1.34E+09,6.39E-04
ACC,1.34E+09,6.39E-04
VIN,1.34E+09,6.39E-04
GIN,1.33E+09,6.34E-04
ETE,1.32E+09,6.29E-04
RGE,1.32E+09,6.29E-04
OIN,1.32E+09,6.29E-04
ARR,1.32E+09,6.29E-04
HOL,1.31E+09,6.24E-04
IGN,1.31E+09,6.24E-04
SEC,1.31E+09,6.24E-04
PON,1.31E+09,6.24E-04
ESI,1.31E+09,6.24E-04
TLY,1.30E+09,6.20E-04
EMP,1.30E+09,6.20E-04
SIS,1.30E+09,6.20E-04
IED,1.30E+09,6.20E-04
OTE,1.30E+09,6.20E-04
RTH,1.29E+09,6.15E-04
MAL,1.29E+09,6.15E-04
COL,1.29E+09,6.15E-04
DIT,1.28E+09,6.10E-04
BLI,1.28E+09,6.10E-04
RON,1.28E+09,6.10E-04
GES,1.28E+09,6.10E-04
SHI,1.28E+09,6.10E-04
CIE,1.27E+09,6.05E-04
ATU,1.27E+09,6.05E-04
RET,1.27E+09,6.05E-04
GER,1.27E+09,6.05E-04
REF,1.27E+09,6.05E-04
OLO,1.27E+09,6.05E-04
AUS,1.26E+09,6.01E-04
RCH,1.26E+09,6.01E-04
LAC,1.26E+09,6.01E-04
LLO,1.26E+09,6.01E-04
TLE,1.25E+09,5.96E-04
TIT,1.25E+09,5.96E-04
IFI,1.25E+09,5.96E-04
HOS,1.24E+09,5.91E-04
BEC,1.24E+09,5.91E-04
PEA,1.24E+09,5.91E-04
ECE,1.24E+09,5.91E-04
LLI,1.24E+09,5.91E-04
ONC,1.24E+09,5.91E-04
RCE,1.23E+09,5.86E-04
FUL,1.23E+09,5.86E-04
GRO,1.23E+09,5.86E-04
ORS,1.22E+09,5.81E-04
LAS,1.22E+09,5.81E-04
RIO,1.22E+09,5.81E-04
ARS,1.22E+09,5.81E-04
CED,1.22E+09,5.81E-04
WIN,1.22E+09,5.81E-04
ONL,1.21E+09,5.77E-04
VID,1.21E+09,5.77E-04
NGS,1.21E+09,5.77E-04
IOU,1.21E+09,5.77E-04
ORY,1.21E+09,5.77E-04
CLE,1.20E+09,5.72E-04
LEC,1.20E+09,5.72E-04
ITT,1.20E+09,5.72E-04
URI,1.20E+09,5.72E-04
OSS,1.19E+09,5.67E-04
RTA,1.19E+09,5.67E-04
CER,1.19E+09,5.67E-04
POL,1.18E+09,5.62E-04
NIS,1.18E+09,5.62E-04
ARL,1.18E+09,5.62E-04
EXT,1.18E+09,5.62E-04
HED,1.18E+09,5.62E-04
PPE,1.17E+09,5.58E-04
ISI,1.17E+09,5.58E-04
VAL,1.17E+09,5.58E-04
ARG,1.16E+09,5.53E-04
RIG,1.16E+09,5.53E-04
NSE,1.16E+09,5.53E-04
HOR,1.15E+09,5.48E-04
ISS,1.15E+09,5.48E-04
IAT,1.15E+09,5.48E-04
CRI,1.15E+09,5.48E-04
ELA,1.15E+09,5.48E-04
ESP,1.15E+09,5.48E-04
ITU,1.14E+09,5.43E-04
TWO,1.14E+09,5.43E-04
NOR,1.14E+09,5.43E-04
RSE,1.14E+09,5.43E-04
OFF,1.14E+09,5.43E-04
IFF,1.14E+09,5.43E-04
TEL,1.14E+09,5.43E-04
ETI,1.13E+09,5.39E-04
IRS,1.13E+09,5.39E-04
CUR,1.13E+09,5.39E-04
AID,1.13E+09,5.39E-04
BET,1.13E+09,5.39E-04
RAI,1.12E+09,5.34E-04
